id,recipient_wallet,source_wallet,trigger_level,payout_layer,matrix_position,reward_amount,status,requires_level,unlock_condition,expires_at,confirmed_at,expired_at,notes,metadata,created_at,wallet_address,amount,reward_type,layer,level
5b3a1594-94b1-4e8c-839e-5fb45eb28ec1,0x380fd6a57fc2df6f10b8920002e4acc7d57d61c0,0xe6fb55d860c72f5e42056244410f5ea46895bfd8,1,1,L,100.00,claimable,,,,,,,,2025-09-04 04:00:00,,,,,
d8c63136-fc7f-47de-8226-b37749837f93,0x380fd6a57fc2df6f10b8920002e4acc7d57d61c0,0x9b132b74a6246fa90e9c36e5cd845f1ded10c589,1,1,M,100.00,claimable,,,,,,,,2025-09-04 08:20:00,,,,,
d7bc0bc1-6004-4267-82c0-be8ef88ca0a2,0xe6fb55d860c72f5e42056244410f5ea46895bfd8,0x2bc46f768384f88b3d3c53de6a69b3718026d23f,1,1,L,100.00,claimable,,,,,,,,2025-09-04 07:00:00,,,,,
79770076-2e32-49b5-9d98-a776967de902,0xe6fb55d860c72f5e42056244410f5ea46895bfd8,0xb79d58df8ea073dd3904bc804df1e187a0ae4821,1,1,M,100.00,claimable,,,,,,,,2025-09-04 04:40:00,,,,,
d97704a4-f224-424d-b017-5df1f4ea3524,0xe6fb55d860c72f5e42056244410f5ea46895bfd8,0xf9e54564d273531f97f95291baf0c3d74f337937,1,1,R,100.00,pending_upgrade,,,2025-09-07 07:58:36,,,,,2025-09-04 07:58:36,,,,,
15b71de0-8f59-4755-b298-ee0c0acfee6d,0x9b132b74a6246fa90e9c36e5cd845f1ded10c589,0xabaa68278d23bd09bbf16ae7f715a96393cfdfa1,1,1,L,100.00,claimable,,,,,,,,2025-09-04 09:40:00,,,,,
b24edeca-a308-4da5-916d-b9a81e1abf57,0x9b132b74a6246fa90e9c36e5cd845f1ded10c589,0xab02b5381694f8a39149b9d31459533c4e8a0016,1,1,M,100.00,claimable,,,,,,,,2025-09-04 09:42:00,,,,,
fef15fad-a16c-4980-af95-d977874f09d1,0x9b132b74a6246fa90e9c36e5cd845f1ded10c589,0x0d1dccbab42d94f3caf4f34c19fa176f21e23188,1,1,R,100.00,pending_upgrade,,,2025-09-07 09:43:00,,,,,2025-09-04 09:43:00,,,,,
