wallet_address,total_usdt_earnings,withdrawn_usdt,available_usdt,bcc_balance,bcc_locked,pending_upgrade_rewards,has_pending_upgrades,last_updated,created_at,usdt_balance,usdt_pending,usdt_total_earned
0x479abda60f8c62a7c3fba411ab948a8be0e616ab,0,0,0,750,10200,0,f,2025-09-04 00:01:18.896899,2025-09-04 00:01:18.896899,0,0,0
0x1234567890123456789012345678901234567890,0,0,0,0,0,0,f,2025-09-04 07:07:29.189058,2025-09-04 07:07:29.189058,0,0,0
0xb79d58df8ea073dd3904bc804df1e187a0ae4821,0,0,0,600,10350,0,f,2025-09-04 08:40:05.347784,2025-09-04 08:40:05.347784,0,0,0
0x6366573ff5f6b07be1e96b024c8862f5502d13e3,0,0,0,600,10350,0,f,2025-09-04 08:40:05.347784,2025-09-04 08:40:05.347784,0,0,0
0x2bc46f768384f88b3d3c53de6a69b3718026d23f,0,0,0,600,10350,0,f,2025-09-04 08:40:05.347784,2025-09-04 08:40:05.347784,0,0,0
0xf9e54564d273531f97f95291baf0c3d74f337937,0,0,0,600,10350,0,f,2025-09-04 08:40:05.347784,2025-09-04 08:40:05.347784,0,0,0
0x9b132b74a6246fa90e9c36e5cd845f1ded10c589,0,0,0,600,10350,0,f,2025-09-04 08:40:05.347784,2025-09-04 08:40:05.347784,0,0,0
0x380fd6a57fc2df6f10b8920002e4acc7d57d61c0,200,0,200,600,10350,100,f,2025-09-04 09:21:34.624752,2025-09-04 08:40:05.347784,200,0,200
0xe6fb55d860c72f5e42056244410f5ea46895bfd8,200,0,200,600,10350,0,f,2025-09-04 09:21:56.79756,2025-09-04 08:40:05.347784,200,0,200
